land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,Land_Rate_per_Acre,property_value
331,295,5,3,1,1,1,1,10,10900000,280459
707,706,8,8,1,1,1,1,8,10500000,633937
131,114,1,1,1,0,0,0,4,9859000,96597
111,100,1,1,1,1,1,0,7,6973999,91143
339,319,5,3,1,1,1,1,3,5705000,278842
351,349,5,4,1,0,1,1,13,5772000,278214
575,510,7,5,1,1,1,1,14,6720999,481957
199,190,3,1,1,0,0,0,14,6761000,154835
335,301,5,5,1,1,1,1,9,5677000,287783
564,550,7,5,1,1,1,1,9,5384000,462835
188,184,2,1,1,0,0,1,11,9141000,166690
201,199,3,1,1,0,0,0,10,9522000,157217
282,242,5,3,0,1,1,1,3,10000000,258670
208,195,3,4,1,0,0,0,6,7211000,168724
328,313,5,5,1,1,1,1,17,8514000,240075
339,306,5,3,0,1,1,1,14,10300000,278212
178,176,2,1,1,0,1,0,9,7783000,143234
172,170,2,3,0,0,0,0,18,7429000,130053
235,228,3,2,1,1,0,0,17,7809999,190146
213,198,3,1,0,1,0,1,17,6250000,152609
294,285,5,5,1,1,1,1,7,3797999,258997
106,103,1,1,1,0,0,0,14,5034000,89107
526,458,7,8,1,1,1,1,12,7897000,434971
237,222,3,3,1,1,1,0,10,5327000,194061
125,116,2,3,0,1,0,1,2,8269000,115975
251,219,4,4,1,1,1,1,13,5958000,221823
220,199,4,5,1,1,1,0,2,6900000,168480
347,326,5,5,1,1,1,1,4,9700000,316226
352,315,6,5,1,1,1,1,22,7300000,299973
213,198,4,2,1,1,1,1,19,9180000,191361
240,204,4,4,0,1,0,1,16,6986000,169989
287,248,5,4,1,1,0,1,9,6081000,241830
218,192,3,1,1,1,0,1,15,7891000,188191
295,276,4,5,1,1,1,0,18,6070000,224761
269,232,4,5,1,1,1,1,16,5961000,237263
732,670,8,8,1,1,1,1,15,8442000,616074
292,260,4,5,1,1,1,1,17,9003000,223110
326,300,5,4,1,1,1,0,22,5923000,260625
302,298,5,5,1,1,1,1,13,6174000,258224
237,218,3,3,0,1,0,0,2,5994000,181262
462,432,7,6,1,1,1,1,22,8180000,376138
121,116,1,2,0,0,1,0,22,7662000,83596
290,286,4,2,1,1,0,1,17,8763000,248198
170,169,3,4,1,0,0,0,4,8957000,119513
171,165,3,2,1,1,0,1,22,6581000,133973
284,277,4,2,1,1,1,1,2,9640000,247026
219,191,4,2,1,1,0,1,1,6664000,195210
270,259,4,2,0,1,1,1,9,6631000,236517
126,118,1,1,0,1,0,0,20,10000000,86108
311,293,5,3,1,1,1,1,20,9879000,248858
228,197,4,2,1,1,1,1,15,8529000,226934
195,194,4,3,1,1,1,1,20,7252000,173061
150,148,2,3,0,0,0,0,3,9037000,102931
189,172,2,1,1,1,0,0,11,7298000,142666
297,274,4,2,0,1,0,1,9,10400000,234742
254,241,4,2,1,1,1,1,15,9520000,215166
105,103,1,2,1,0,0,0,8,7229000,74578
326,318,5,4,1,1,1,1,20,9887000,271447
233,231,5,5,1,1,1,1,20,10300000,203147
346,329,5,5,1,1,1,1,21,7159999,298067
184,157,3,2,1,0,1,0,2,10700000,156989
167,167,3,1,1,0,0,1,2,8900000,153839
221,196,4,4,1,1,1,1,4,9382000,193115
257,256,4,3,1,0,0,1,19,7344000,204217
139,120,2,2,0,0,0,0,14,7091000,95329
404,387,6,6,1,1,1,1,14,6279000,331662
181,175,2,1,1,1,1,0,11,5306000,140138
284,276,4,5,1,1,1,0,3,6655000,204294
249,244,5,5,1,1,1,0,10,5195000,205757
309,304,5,4,1,0,1,0,8,5483000,236765
158,137,3,2,1,1,0,0,15,5527000,121941
215,191,3,2,1,0,0,0,5,6412000,155454
327,280,5,3,1,1,1,0,8,6036000,319955
301,261,4,2,1,1,1,1,5,4930000,246785
194,191,4,5,0,0,0,1,18,6611000,157193
285,272,4,3,1,1,0,0,17,5173000,224534
147,135,2,2,0,1,0,0,22,6058000,106071
222,210,3,1,0,1,0,0,1,5085000,185050
102,97,1,1,0,0,0,0,4,6434000,81705
119,102,1,1,0,1,0,0,17,5262000,91617
287,251,4,5,1,1,1,1,20,6681999,251878
594,558,7,7,1,1,1,1,7,6525000,485251
273,259,4,5,1,1,1,1,12,6997000,239005
323,310,6,4,1,1,1,1,2,6097000,280732
209,207,3,3,0,0,0,0,8,6120000,146659
321,308,5,5,1,1,1,1,11,6142000,261140
315,277,5,2,1,1,1,1,3,6727000,277487
201,187,4,5,1,1,1,1,12,6277000,177838
276,265,4,2,1,1,1,0,3,6750000,218677
204,195,3,3,1,1,0,1,1,6456999,179334
200,198,4,5,1,1,0,1,16,5240000,149213
282,280,4,4,1,0,1,0,18,4120000,218357
262,261,5,3,1,1,1,1,2,7012000,242608
200,193,3,4,1,1,1,0,12,8195000,167090
389,356,6,6,1,1,1,1,21,8050000,311121
350,345,6,7,1,1,1,1,10,5900000,302476
291,252,5,5,1,1,1,1,20,8100000,244099
304,299,5,3,1,0,1,1,1,6400000,269943
245,237,5,3,1,1,1,1,20,6275000,207175
247,229,4,2,1,1,0,1,15,14400000,204491
236,212,4,2,0,1,1,0,6,13700000,226527
304,266,4,2,1,1,0,1,9,11399999,259447
150,146,1,2,1,0,0,0,11,4500000,107623
302,279,4,4,1,1,1,1,16,29600000,255877
289,267,4,4,1,1,1,1,11,8800000,253564
120,103,1,1,0,1,0,0,11,15400000,94746
126,119,2,1,0,1,0,1,10,11000000,119907
223,221,4,2,1,0,0,1,7,9122000,171645
238,228,4,5,0,1,0,1,4,5267000,209202
451,411,6,6,1,1,1,1,16,3507000,378002
102,89,1,2,0,1,1,0,14,4816000,97490
281,257,4,5,1,1,1,1,12,4312000,251810
275,234,4,2,1,1,0,1,9,5295000,203732
213,182,3,4,1,1,1,0,7,3696000,182073
279,268,4,5,1,1,1,1,13,4140000,256259
100,92,1,1,1,1,0,0,9,3832000,72429
164,153,3,3,1,1,1,0,17,3377000,136052
243,208,5,3,1,1,1,1,4,4560000,240139
129,126,1,2,0,0,0,0,11,5015000,86600
121,111,2,1,1,1,1,0,8,3769000,92962
192,168,4,2,1,1,1,1,22,3447000,165594
202,193,3,3,0,0,1,0,11,4956000,163867
270,245,4,5,1,1,1,0,15,5323000,230019
155,151,2,3,0,0,0,0,16,3954999,107775
256,253,4,3,1,1,0,1,18,3419000,218635
326,318,5,4,1,1,1,1,16,5351000,266852
371,334,6,6,1,1,1,1,20,4434000,299188
210,182,4,4,1,1,1,1,9,7837000,184745
185,184,2,1,0,0,0,0,9,9834000,123228
158,137,3,4,0,0,0,1,16,8298999,123849
126,118,1,2,0,0,0,0,19,8728000,93285
214,187,4,5,0,1,1,1,20,9453000,198485
133,131,2,3,1,0,0,0,14,15000000,91774
294,263,4,3,1,1,1,1,8,8900000,240268
275,237,4,2,1,1,1,1,11,14400000,252453
347,347,5,3,1,0,1,1,5,12700000,280575
186,166,3,1,0,0,0,0,5,12500000,120711
335,288,5,2,1,1,1,1,5,20099999,301216
488,474,7,5,1,1,0,1,15,18800000,391633
236,225,3,2,1,1,0,0,11,13700000,162387
230,219,3,1,0,1,0,0,12,18900000,176992
210,188,3,1,1,1,1,0,4,8500000,156943
507,507,7,7,1,1,1,1,10,12000000,412984
126,125,2,1,0,0,0,0,14,9000000,105075
279,252,4,5,1,1,1,1,9,9300000,243798
349,344,5,2,1,0,1,1,17,11000000,270197
230,208,5,3,1,1,1,1,16,12000000,205747
279,266,4,2,1,1,1,1,2,18000000,250027
183,181,2,2,0,0,0,1,8,29300000,150339
229,209,3,1,1,1,0,0,15,22799999,158692
220,220,4,4,1,1,1,1,1,3200000,213757
225,218,3,1,0,1,0,1,12,11000000,187490
220,208,3,4,0,0,1,0,9,9800000,147799
141,129,1,2,0,1,0,0,6,42500000,110770
300,300,4,4,0,0,1,1,8,13500000,214089
295,256,5,5,1,1,1,1,9,15600000,257101
258,252,4,2,1,1,1,1,16,18900000,231531
232,227,3,4,1,0,0,0,14,15400000,180936
211,210,4,3,1,1,1,1,18,12300000,200912
213,208,4,3,1,1,1,1,3,6845999,203087
228,221,4,5,1,1,0,1,16,9173000,190587
123,107,1,1,0,0,0,0,19,9471000,74588
219,208,3,4,0,1,0,0,6,7247000,160441
206,197,3,2,1,0,1,0,1,5599000,168807
278,251,4,2,1,1,1,1,15,11800000,224582
306,262,4,5,1,1,0,1,18,4815000,250645
232,217,3,4,0,1,1,0,20,4880000,181021
235,214,3,1,0,0,1,0,12,5050000,177385
264,245,4,2,1,1,1,1,17,4619000,225428
159,151,3,3,1,1,0,0,2,4785000,134211
116,111,1,2,0,0,0,0,15,4972000,95184
203,192,4,5,1,1,0,1,6,4737000,188579
212,192,4,3,1,1,1,0,19,4854000,177919
232,220,3,2,0,1,1,0,22,28300000,165869
144,127,2,2,0,1,0,0,4,21400000,105738
216,211,3,4,1,0,0,1,9,23500000,162384
178,178,3,1,0,0,0,1,8,29900000,149631
221,193,3,2,1,0,0,0,5,9200000,173453
277,248,4,3,1,1,1,0,2,8000000,232985
293,290,5,5,0,1,0,1,17,9200000,250231
223,211,3,2,1,1,0,0,4,9300000,158486
208,178,4,2,1,1,1,1,12,7900000,199055
281,246,4,3,1,1,1,0,8,9100000,217036
235,205,5,2,1,1,1,1,9,9000000,206962
137,137,1,1,1,0,0,0,15,7900000,89735
267,266,4,2,1,0,1,1,7,7800000,211921
246,216,4,3,1,1,1,1,2,9100000,227213
212,209,3,2,1,0,0,0,5,9000000,144360
196,181,4,3,0,1,1,0,22,8800000,148155
258,244,5,5,1,1,1,1,5,3990000,234734
217,193,4,3,1,1,0,1,2,4021000,165913
309,282,4,4,1,1,0,1,12,4088000,269363
230,201,3,4,0,1,0,0,3,9060000,177883
274,248,5,5,1,1,1,1,12,8644000,243876
161,161,3,4,1,0,0,1,16,8836000,145070
306,302,5,4,1,1,1,1,20,10200000,251294
111,111,1,2,1,0,0,0,21,8528000,85197
157,155,2,1,1,0,0,1,2,8516000,130667
131,113,2,3,0,0,0,1,11,8804000,110035
123,113,2,2,0,1,0,0,3,9910000,89665
190,189,4,5,1,1,1,1,12,7634000,174947
266,242,4,3,1,1,1,0,3,5970000,218217
200,193,4,4,0,1,1,1,10,7675000,183451
258,258,5,2,1,1,1,1,19,5702000,199685
471,403,8,8,1,1,1,1,7,6210000,392630
207,190,3,2,0,0,1,0,21,2520000,148489
251,244,4,4,1,1,0,1,8,3304000,219204
242,234,4,3,0,1,1,1,19,3010000,223734
354,305,5,2,1,1,1,1,21,2800000,281686
293,274,5,5,1,1,1,1,4,2464000,280413
165,164,3,2,0,0,1,0,9,5557000,144414
145,136,2,2,1,1,0,0,3,11900000,103089
216,205,4,3,1,1,1,1,16,7738000,190030
192,185,4,3,0,1,1,1,10,6354000,169506
238,210,5,3,1,1,1,1,11,2814000,211673
169,145,3,4,1,0,0,1,5,5463000,153349
113,107,1,1,0,1,0,1,18,7456999,97920
215,197,3,4,1,1,1,0,1,5416000,171471
258,256,5,3,1,0,1,1,13,11700000,208112
285,272,5,2,1,1,1,1,12,5604000,240336
165,155,3,3,0,0,0,1,19,7175000,135725
278,262,4,2,1,1,1,1,12,7504000,240832
129,111,1,1,0,0,0,0,22,5628000,94593
201,201,4,5,1,0,1,1,10,5200000,174635
287,284,5,5,1,0,1,1,10,5200000,237630
191,186,3,1,1,0,0,0,9,6385000,173289
166,152,2,1,0,0,0,1,1,6531999,129806
178,163,2,2,0,1,0,1,1,9457000,146506
169,156,3,2,1,1,0,0,8,9035000,142197
232,200,3,3,0,1,0,0,16,6662000,157665
314,304,5,2,0,1,1,0,5,7181999,237665
288,254,4,3,1,1,1,1,9,7377000,249382
340,290,5,3,1,1,1,1,7,7125000,290142
188,186,3,4,1,0,0,1,14,6389000,146608
206,189,3,4,0,1,0,0,15,6459000,159464
209,207,4,2,1,1,1,1,21,11800000,177342
172,148,2,1,0,0,0,0,15,11500000,113652
121,118,1,2,0,0,0,0,6,7920000,80640
110,100,1,1,1,0,0,0,17,10700000,82092
230,203,4,4,1,1,1,1,17,10600000,216298
143,132,1,1,0,1,0,0,7,8464000,111090
183,173,2,1,0,1,0,1,6,8184000,163579
226,215,3,3,1,1,1,0,11,10100000,210203
265,255,4,3,1,1,1,0,19,8178000,200090
421,389,7,5,1,1,1,1,22,11299999,342979
151,142,3,3,0,1,0,0,16,10100000,119642
410,362,7,7,1,1,1,1,15,8289000,347023
117,110,1,1,0,0,0,0,15,7856000,73259
205,203,4,5,0,0,0,1,18,8254000,167198
216,214,3,3,0,0,1,0,22,7820999,163013
166,142,3,3,1,1,0,0,10,11700000,134523
304,268,5,4,1,1,1,1,9,10500000,264890
317,276,5,3,1,1,1,1,16,10300000,304197
128,112,1,1,0,0,0,0,20,4455000,85093
297,267,4,3,1,1,0,1,2,4905000,254980
251,239,5,5,1,1,1,0,7,5550000,216225
315,281,5,3,1,1,1,1,13,4500000,266922
154,149,3,2,0,0,0,1,13,13000000,135239
334,295,5,4,1,1,1,1,6,5500000,291314
301,295,4,2,1,1,1,1,18,20700000,211264
304,264,5,5,1,1,1,1,21,3999000,254959
229,196,4,4,1,1,1,1,1,3522000,213259
301,274,4,4,1,1,1,0,14,2874000,211332
183,160,3,1,0,0,1,0,3,3682000,169796
265,240,4,3,1,1,1,1,3,3427000,246977
287,245,5,4,1,1,1,1,19,3932000,230689
182,164,2,3,0,1,0,1,18,3822000,138128
150,148,1,2,0,0,0,0,17,2487000,90323
337,318,5,3,1,1,1,1,22,5580000,265508
235,223,4,4,1,1,1,0,11,5130000,191229
340,309,5,2,1,1,0,1,21,4910000,266217
230,211,4,4,1,1,1,1,8,4342000,182936
497,439,7,8,1,1,1,1,19,3338000,410150
360,359,5,5,1,1,1,1,18,2578000,285274
321,287,6,7,1,1,1,1,6,3415000,309603
256,245,4,4,1,1,1,1,10,3114000,226431
173,157,2,1,0,1,0,1,11,2879000,123955
294,292,4,5,1,0,1,1,16,4485000,240637
300,292,5,2,1,1,1,1,17,3124000,252552
256,243,4,4,1,1,1,1,3,4713000,221797
235,203,4,4,0,1,1,1,3,4517000,209576
165,146,3,3,1,0,1,0,10,4734000,124165
303,271,4,3,1,1,1,1,2,3159000,259452
169,156,2,2,1,1,0,0,21,4219000,108676
280,260,4,4,0,1,1,1,17,2578000,231117
263,247,4,3,1,1,1,1,18,3645000,246318
146,131,1,2,0,1,0,0,22,4342000,124949
211,186,3,2,1,1,0,0,9,2253000,152813
152,135,3,4,0,0,0,1,6,2893000,123624
137,131,1,2,0,0,0,0,1,2614000,106898
267,240,5,5,1,1,1,1,10,10500000,239957
175,164,3,4,0,0,1,0,7,4867000,117941
284,253,5,3,0,1,1,1,3,4735000,226460
124,123,1,1,0,0,0,0,8,2653000,84013
221,190,3,4,1,1,1,0,16,2862000,204873
216,202,4,4,1,1,0,1,22,3339000,192404
222,221,4,5,1,0,1,1,2,2962000,188729
215,212,4,3,1,1,0,1,21,2880000,159951
293,273,5,2,1,1,1,1,17,2318000,268572
161,143,2,1,0,0,1,0,4,2254000,125420
201,193,3,2,0,0,0,0,16,2254000,122177
318,279,5,3,1,1,1,0,5,2973000,255561
270,253,4,2,1,1,0,1,18,4870000,213956
247,236,5,4,0,1,1,1,7,2781000,204578
265,231,4,5,1,1,1,1,9,2613000,278178
253,250,4,5,0,1,1,1,20,4783000,208624
542,537,7,7,1,1,1,1,5,2879000,442963
123,123,1,1,1,0,0,0,21,5045000,97975
122,111,1,1,0,1,0,0,15,4362000,97123
200,195,3,4,0,0,1,0,16,5500000,158833
232,228,5,2,1,1,0,1,3,4565000,206522
229,206,3,2,1,0,0,0,18,4000000,158783
275,253,4,4,1,1,1,1,22,4800000,206450
276,271,5,2,1,1,1,1,9,4485000,238341
282,255,5,5,1,1,1,0,5,4011999,235811
301,290,5,3,1,1,1,1,6,4520000,271236
361,327,6,4,1,1,1,1,4,4292000,299391
213,191,4,5,1,1,1,1,14,4730000,188032
282,241,4,4,1,1,1,0,16,4975000,210328
238,229,5,3,1,1,1,1,21,4905000,214802
199,190,4,3,1,1,1,1,12,4222000,170845
462,431,7,7,1,1,1,1,1,3995000,397105
139,127,1,2,0,0,1,0,8,8076000,109765
113,102,1,2,0,1,0,0,16,4700000,79384
300,265,4,2,1,1,1,1,10,3579000,259138
150,145,1,2,1,0,0,0,8,3372000,115801
245,220,4,3,0,1,1,0,13,2922000,190805
190,167,3,1,0,1,0,1,16,2844000,187984
204,204,3,1,0,0,0,1,21,2901000,160866
229,222,4,2,1,1,1,1,13,2820000,180488
106,100,1,1,1,1,0,0,11,4458000,81292
305,287,6,4,1,1,1,1,6,3483000,279286
114,98,1,2,1,1,0,0,14,3699000,104317
302,291,5,3,1,1,1,1,16,3906000,253123
221,196,3,1,1,1,0,0,14,2889000,173442
327,300,5,4,1,1,1,1,16,3429000,282086
205,199,4,2,0,1,1,1,9,4164000,156838
244,222,4,3,1,1,1,1,7,3384000,215734
352,352,5,4,1,1,1,1,20,2935000,251200
465,422,7,4,1,1,1,1,3,4097000,389276
297,254,4,2,0,1,1,1,20,3202000,233764
123,109,1,2,1,0,0,0,12,2867000,81970
523,518,7,4,1,1,1,1,11,3411999,421836
341,296,5,3,1,1,1,0,10,2436000,269148
125,124,1,2,0,0,1,0,12,2800000,83615
119,114,1,2,1,0,0,0,20,3010000,86036
348,311,5,5,0,1,1,1,13,2520000,290403
282,272,5,4,1,1,1,1,18,3038000,231205
333,307,5,3,1,1,1,1,21,3177000,260258
220,215,3,1,0,0,0,0,20,10600000,134915
258,227,4,2,1,1,1,1,4,7200000,236815
273,242,5,3,1,1,1,1,4,20400000,236549
167,144,2,3,1,0,0,1,17,17600000,148513
200,200,3,4,1,0,0,0,1,20200000,143354
264,229,4,2,1,1,1,1,20,10200000,198294
106,95,1,2,1,1,0,0,6,4002000,92886
252,237,4,3,1,1,0,1,10,4568000,214352
198,193,4,2,1,0,1,0,13,4056000,168933
210,197,4,3,1,1,1,1,10,4303000,207116
140,126,1,1,0,0,0,0,1,4299000,108908
209,179,3,2,1,1,0,0,10,4541000,195636
275,246,4,5,1,1,1,1,22,4210000,275476
337,318,5,4,1,1,1,1,2,4195000,295851
547,501,7,8,1,1,1,1,10,4226000,436648
145,143,1,2,0,0,0,0,7,4638000,108924
281,255,4,3,1,1,1,1,19,4699000,216315
253,229,4,2,1,1,1,0,4,4426000,218512
541,469,7,8,1,1,1,1,9,3925000,452774
189,189,3,4,1,0,0,1,17,4345000,177270
174,160,2,3,1,1,0,1,14,4086999,144421
199,198,3,1,0,0,0,0,5,4076000,155102
238,219,4,4,1,1,0,1,3,4072000,224645
266,238,5,5,0,1,1,1,2,4614000,246371
305,275,4,5,1,1,1,0,8,4054000,235295
238,225,4,5,1,1,0,1,8,3500000,227194
351,321,5,3,1,1,1,1,6,4165999,267069
266,263,4,2,1,1,1,1,17,3068000,221181
222,222,4,5,1,1,0,1,22,4174000,177497
122,121,2,3,0,0,1,0,18,3052000,93031
239,226,5,3,1,1,1,1,20,3085000,219944
178,154,2,1,0,1,0,0,11,3264000,136680
199,172,4,3,1,1,0,1,11,2576000,173375
592,518,7,5,1,1,1,1,20,3197000,462464
210,205,4,4,1,1,1,1,7,4342000,183988
269,253,4,4,1,1,1,1,2,3178000,208448
293,275,5,3,1,1,1,1,2,3913000,255478
134,125,1,1,1,1,0,0,19,3561999,93962
310,268,4,2,1,1,0,1,8,4292000,268550
150,138,1,2,0,1,0,0,21,2899000,98954
303,271,6,4,1,1,1,1,5,2925000,271240
294,260,4,3,1,1,1,0,22,2984000,244117
313,286,5,3,1,1,1,0,15,3809000,217061
211,188,3,3,0,1,0,1,11,4958000,174751
345,342,5,5,1,1,1,1,14,4878000,270050
555,545,7,5,1,1,1,1,1,4898000,465474
306,279,5,2,1,1,1,1,21,5078000,275227
258,253,4,2,1,1,0,1,15,3010000,216373
228,197,4,3,1,1,1,1,10,2436000,213272
324,293,5,2,1,1,1,1,4,2800000,280921
277,274,5,5,1,0,1,1,18,3388000,223126
134,127,2,3,0,1,1,0,20,2520000,100626
338,315,6,5,1,1,1,1,20,3038000,284950
274,235,4,2,1,1,1,1,7,2464000,257636
217,216,4,3,1,1,0,0,4,5797000,199060
279,260,4,3,1,1,0,1,22,4928000,228505
139,127,1,2,0,0,0,0,19,4147000,99448
221,211,4,3,1,1,1,1,4,4400000,209507
196,189,4,4,1,1,1,1,10,7211000,181160
293,254,5,5,1,1,0,0,2,5910000,244179
246,221,4,3,1,1,1,1,5,7423000,229984
152,151,3,2,0,0,1,0,7,9227000,114839
201,180,4,5,1,1,1,1,1,7263000,182184
102,91,1,2,0,1,0,0,5,6494000,68794
404,365,6,4,1,1,1,1,21,8458000,318141
190,179,3,3,1,1,1,0,17,9094000,148956
584,509,7,6,1,1,1,1,11,7847000,478267
240,230,3,3,1,1,1,0,4,6520999,176495
301,287,4,3,1,1,1,1,13,7184000,249095
250,230,5,4,1,1,1,1,6,5858000,229479
229,195,4,4,1,1,1,1,15,7689000,210232
110,99,1,1,0,0,1,0,22,6415000,68727
181,161,2,3,1,1,0,1,12,5752000,161613
542,505,7,4,1,1,1,1,15,6388000,431018
157,145,3,2,0,1,0,0,2,7078000,124535
289,269,5,3,1,1,1,1,21,5804000,241591
117,104,1,1,1,0,0,0,13,11200000,82579
307,301,4,4,1,1,0,1,10,7608000,275159
297,268,4,4,1,1,0,1,5,6361000,267067
333,289,5,4,1,1,1,0,1,8192000,294463
692,593,8,9,1,1,1,1,2,6255000,560537
294,267,4,3,1,1,1,0,3,8830000,233537
120,111,1,1,1,1,0,0,21,9517000,88804
337,303,5,4,1,1,1,1,8,7556000,274690
