land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,Land_Rate_per_Acre,property_value
192,168,4,2,1,1,1,1,22,165594,3447000
202,193,3,3,0,0,1,0,11,163867,4956000
270,245,4,5,1,1,1,0,15,230019,5323000
155,151,2,3,0,0,0,0,16,107775,3954999
256,253,4,3,1,1,0,1,18,218635,3419000
326,318,5,4,1,1,1,1,16,266852,5351000
371,334,6,6,1,1,1,1,20,299188,4434000
210,182,4,4,1,1,1,1,9,184745,7837000
185,184,2,1,0,0,0,0,9,123228,9834000
158,137,3,4,0,0,0,1,16,123849,8298999
126,118,1,2,0,0,0,0,19,93285,8728000
214,187,4,5,0,1,1,1,20,198485,9453000
133,131,2,3,1,0,0,0,14,91774,15000000
294,263,4,3,1,1,1,1,8,240268,8900000
275,237,4,2,1,1,1,1,11,252453,14400000
347,347,5,3,1,0,1,1,5,280575,12700000
186,166,3,1,0,0,0,0,5,120711,12500000
335,288,5,2,1,1,1,1,5,301216,20099999
488,474,7,5,1,1,0,1,15,391633,18800000
236,225,3,2,1,1,0,0,11,162387,13700000
230,219,3,1,0,1,0,0,12,176992,18900000
210,188,3,1,1,1,1,0,4,156943,8500000
507,507,7,7,1,1,1,1,10,412984,12000000
126,125,2,1,0,0,0,0,14,105075,9000000
279,252,4,5,1,1,1,1,9,243798,9300000
349,344,5,2,1,0,1,1,17,270197,11000000
230,208,5,3,1,1,1,1,16,205747,12000000
279,266,4,2,1,1,1,1,2,250027,18000000
183,181,2,2,0,0,0,1,8,150339,29300000
229,209,3,1,1,1,0,0,15,158692,22799999
220,220,4,4,1,1,1,1,1,213757,3200000
225,218,3,1,0,1,0,1,12,187490,11000000
220,208,3,4,0,0,1,0,9,147799,9800000
141,129,1,2,0,1,0,0,6,110770,42500000
300,300,4,4,0,0,1,1,8,214089,13500000
295,256,5,5,1,1,1,1,9,257101,15600000
258,252,4,2,1,1,1,1,16,231531,18900000
232,227,3,4,1,0,0,0,14,180936,15400000
211,210,4,3,1,1,1,1,18,200912,12300000
213,208,4,3,1,1,1,1,3,203087,6845999
228,221,4,5,1,1,0,1,16,190587,9173000
123,107,1,1,0,0,0,0,19,74588,9471000
219,208,3,4,0,1,0,0,6,160441,7247000
206,197,3,2,1,0,1,0,1,168807,5599000
278,251,4,2,1,1,1,1,15,224582,11800000
306,262,4,5,1,1,0,1,18,250645,4815000
232,217,3,4,0,1,1,0,20,181021,4880000
235,214,3,1,0,0,1,0,12,177385,5050000
264,245,4,2,1,1,1,1,17,225428,4619000
159,151,3,3,1,1,0,0,2,134211,4785000
116,111,1,2,0,0,0,0,15,95184,4972000
203,192,4,5,1,1,0,1,6,188579,4737000
212,192,4,3,1,1,1,0,19,177919,4854000
232,220,3,2,0,1,1,0,22,165869,28300000
144,127,2,2,0,1,0,0,4,105738,21400000
216,211,3,4,1,0,0,1,9,162384,23500000
178,178,3,1,0,0,0,1,8,149631,29900000
221,193,3,2,1,0,0,0,5,173453,9200000
277,248,4,3,1,1,1,0,2,232985,8000000
293,290,5,5,0,1,0,1,17,250231,9200000
223,211,3,2,1,1,0,0,4,158486,9300000
208,178,4,2,1,1,1,1,12,199055,7900000
281,246,4,3,1,1,1,0,8,217036,9100000
235,205,5,2,1,1,1,1,9,206962,9000000
137,137,1,1,1,0,0,0,15,89735,7900000
267,266,4,2,1,0,1,1,7,211921,7800000
246,216,4,3,1,1,1,1,2,227213,9100000
212,209,3,2,1,0,0,0,5,144360,9000000
196,181,4,3,0,1,1,0,22,148155,8800000
258,244,5,5,1,1,1,1,5,234734,3990000
217,193,4,3,1,1,0,1,2,165913,4021000
309,282,4,4,1,1,0,1,12,269363,4088000
230,201,3,4,0,1,0,0,3,177883,9060000
274,248,5,5,1,1,1,1,12,243876,8644000
161,161,3,4,1,0,0,1,16,145070,8836000
306,302,5,4,1,1,1,1,20,251294,10200000
111,111,1,2,1,0,0,0,21,85197,8528000
157,155,2,1,1,0,0,1,2,130667,8516000
131,113,2,3,0,0,0,1,11,110035,8804000
123,113,2,2,0,1,0,0,3,89665,9910000
190,189,4,5,1,1,1,1,12,174947,7634000
266,242,4,3,1,1,1,0,3,218217,5970000
200,193,4,4,0,1,1,1,10,183451,7675000
258,258,5,2,1,1,1,1,19,199685,5702000
471,403,8,8,1,1,1,1,7,392630,6210000
207,190,3,2,0,0,1,0,21,148489,2520000
251,244,4,4,1,1,0,1,8,219204,3304000
242,234,4,3,0,1,1,1,19,223734,3010000
354,305,5,2,1,1,1,1,21,281686,2800000
293,274,5,5,1,1,1,1,4,280413,2464000
165,164,3,2,0,0,1,0,9,144414,5557000
145,136,2,2,1,1,0,0,3,103089,11900000
216,205,4,3,1,1,1,1,16,190030,7738000
192,185,4,3,0,1,1,1,10,169506,6354000
238,210,5,3,1,1,1,1,11,211673,2814000
169,145,3,4,1,0,0,1,5,153349,5463000
113,107,1,1,0,1,0,1,18,97920,7456999
215,197,3,4,1,1,1,0,1,171471,5416000
258,256,5,3,1,0,1,1,13,208112,11700000
285,272,5,2,1,1,1,1,12,240336,5604000
165,155,3,3,0,0,0,1,19,135725,7175000
278,262,4,2,1,1,1,1,12,240832,7504000
129,111,1,1,0,0,0,0,22,94593,5628000
201,201,4,5,1,0,1,1,10,174635,5200000
287,284,5,5,1,0,1,1,10,237630,5200000
191,186,3,1,1,0,0,0,9,173289,6385000
166,152,2,1,0,0,0,1,1,129806,6531999
178,163,2,2,0,1,0,1,1,146506,9457000
169,156,3,2,1,1,0,0,8,142197,9035000
232,200,3,3,0,1,0,0,16,157665,6662000
314,304,5,2,0,1,1,0,5,237665,7181999
288,254,4,3,1,1,1,1,9,249382,7377000
340,290,5,3,1,1,1,1,7,290142,7125000
188,186,3,4,1,0,0,1,14,146608,6389000
206,189,3,4,0,1,0,0,15,159464,6459000
209,207,4,2,1,1,1,1,21,177342,11800000
172,148,2,1,0,0,0,0,15,113652,11500000
121,118,1,2,0,0,0,0,6,80640,7920000
110,100,1,1,1,0,0,0,17,82092,10700000
230,203,4,4,1,1,1,1,17,216298,10600000
143,132,1,1,0,1,0,0,7,111090,8464000
183,173,2,1,0,1,0,1,6,163579,8184000
226,215,3,3,1,1,1,0,11,210203,10100000
265,255,4,3,1,1,1,0,19,200090,8178000
421,389,7,5,1,1,1,1,22,342979,11299999
151,142,3,3,0,1,0,0,16,119642,10100000
410,362,7,7,1,1,1,1,15,347023,8289000
117,110,1,1,0,0,0,0,15,73259,7856000
205,203,4,5,0,0,0,1,18,167198,8254000
216,214,3,3,0,0,1,0,22,163013,7820999
166,142,3,3,1,1,0,0,10,134523,11700000
304,268,5,4,1,1,1,1,9,264890,10500000
317,276,5,3,1,1,1,1,16,304197,10300000
128,112,1,1,0,0,0,0,20,85093,4455000
297,267,4,3,1,1,0,1,2,254980,4905000
251,239,5,5,1,1,1,0,7,216225,5550000
315,281,5,3,1,1,1,1,13,266922,4500000
154,149,3,2,0,0,0,1,13,135239,13000000
334,295,5,4,1,1,1,1,6,291314,5500000
301,295,4,2,1,1,1,1,18,211264,20700000
304,264,5,5,1,1,1,1,21,254959,3999000
229,196,4,4,1,1,1,1,1,213259,3522000
301,274,4,4,1,1,1,0,14,211332,2874000
183,160,3,1,0,0,1,0,3,169796,3682000
265,240,4,3,1,1,1,1,3,246977,3427000
287,245,5,4,1,1,1,1,19,230689,3932000
182,164,2,3,0,1,0,1,18,138128,3822000
150,148,1,2,0,0,0,0,17,90323,2487000
337,318,5,3,1,1,1,1,22,265508,5580000
235,223,4,4,1,1,1,0,11,191229,5130000
340,309,5,2,1,1,0,1,21,266217,4910000
230,211,4,4,1,1,1,1,8,182936,4342000
497,439,7,8,1,1,1,1,19,410150,3338000
360,359,5,5,1,1,1,1,18,285274,2578000
321,287,6,7,1,1,1,1,6,309603,3415000
256,245,4,4,1,1,1,1,10,226431,3114000
173,157,2,1,0,1,0,1,11,123955,2879000
294,292,4,5,1,0,1,1,16,240637,4485000
300,292,5,2,1,1,1,1,17,252552,3124000
256,243,4,4,1,1,1,1,3,221797,4713000
235,203,4,4,0,1,1,1,3,209576,4517000
165,146,3,3,1,0,1,0,10,124165,4734000
303,271,4,3,1,1,1,1,2,259452,3159000
169,156,2,2,1,1,0,0,21,108676,4219000
280,260,4,4,0,1,1,1,17,231117,2578000
263,247,4,3,1,1,1,1,18,246318,3645000
146,131,1,2,0,1,0,0,22,124949,4342000
211,186,3,2,1,1,0,0,9,152813,2253000
152,135,3,4,0,0,0,1,6,123624,2893000
137,131,1,2,0,0,0,0,1,106898,2614000
267,240,5,5,1,1,1,1,10,239957,10500000
175,164,3,4,0,0,1,0,7,117941,4867000
284,253,5,3,0,1,1,1,3,226460,4735000
124,123,1,1,0,0,0,0,8,84013,2653000
221,190,3,4,1,1,1,0,16,204873,2862000
216,202,4,4,1,1,0,1,22,192404,3339000
222,221,4,5,1,0,1,1,2,188729,2962000
215,212,4,3,1,1,0,1,21,159951,2880000
293,273,5,2,1,1,1,1,17,268572,2318000
161,143,2,1,0,0,1,0,4,125420,2254000
201,193,3,2,0,0,0,0,16,122177,2254000
318,279,5,3,1,1,1,0,5,255561,2973000
270,253,4,2,1,1,0,1,18,213956,4870000
247,236,5,4,0,1,1,1,7,204578,2781000
265,231,4,5,1,1,1,1,9,278178,2613000
253,250,4,5,0,1,1,1,20,208624,4783000
542,537,7,7,1,1,1,1,5,442963,2879000
123,123,1,1,1,0,0,0,21,97975,5045000
122,111,1,1,0,1,0,0,15,97123,4362000
200,195,3,4,0,0,1,0,16,158833,5500000
232,228,5,2,1,1,0,1,3,206522,4565000
229,206,3,2,1,0,0,0,18,158783,4000000
275,253,4,4,1,1,1,1,22,206450,4800000
276,271,5,2,1,1,1,1,9,238341,4485000
282,255,5,5,1,1,1,0,5,235811,4011999
301,290,5,3,1,1,1,1,6,271236,4520000
361,327,6,4,1,1,1,1,4,299391,4292000
213,191,4,5,1,1,1,1,14,188032,4730000
282,241,4,4,1,1,1,0,16,210328,4975000
238,229,5,3,1,1,1,1,21,214802,4905000
199,190,4,3,1,1,1,1,12,170845,4222000
462,431,7,7,1,1,1,1,1,397105,3995000
139,127,1,2,0,0,1,0,8,109765,8076000
113,102,1,2,0,1,0,0,16,79384,4700000
300,265,4,2,1,1,1,1,10,259138,3579000
150,145,1,2,1,0,0,0,8,115801,3372000
245,220,4,3,0,1,1,0,13,190805,2922000
190,167,3,1,0,1,0,1,16,187984,2844000
204,204,3,1,0,0,0,1,21,160866,2901000
229,222,4,2,1,1,1,1,13,180488,2820000
106,100,1,1,1,1,0,0,11,81292,4458000
305,287,6,4,1,1,1,1,6,279286,3483000
114,98,1,2,1,1,0,0,14,104317,3699000
302,291,5,3,1,1,1,1,16,253123,3906000
221,196,3,1,1,1,0,0,14,173442,2889000
327,300,5,4,1,1,1,1,16,282086,3429000
205,199,4,2,0,1,1,1,9,156838,4164000
244,222,4,3,1,1,1,1,7,215734,3384000
352,352,5,4,1,1,1,1,20,251200,2935000
465,422,7,4,1,1,1,1,3,389276,4097000
297,254,4,2,0,1,1,1,20,233764,3202000
123,109,1,2,1,0,0,0,12,81970,2867000
523,518,7,4,1,1,1,1,11,421836,3411999
341,296,5,3,1,1,1,0,10,269148,2436000
125,124,1,2,0,0,1,0,12,83615,2800000
119,114,1,2,1,0,0,0,20,86036,3010000
348,311,5,5,0,1,1,1,13,290403,2520000
282,272,5,4,1,1,1,1,18,231205,3038000
333,307,5,3,1,1,1,1,21,260258,3177000
220,215,3,1,0,0,0,0,20,134915,10600000
258,227,4,2,1,1,1,1,4,236815,7200000
273,242,5,3,1,1,1,1,4,236549,20400000
167,144,2,3,1,0,0,1,17,148513,17600000
200,200,3,4,1,0,0,0,1,143354,20200000
264,229,4,2,1,1,1,1,20,198294,10200000
106,95,1,2,1,1,0,0,6,92886,4002000
252,237,4,3,1,1,0,1,10,214352,4568000
198,193,4,2,1,0,1,0,13,168933,4056000
210,197,4,3,1,1,1,1,10,207116,4303000
140,126,1,1,0,0,0,0,1,108908,4299000
209,179,3,2,1,1,0,0,10,195636,4541000
275,246,4,5,1,1,1,1,22,275476,4210000
337,318,5,4,1,1,1,1,2,295851,4195000
547,501,7,8,1,1,1,1,10,436648,4226000
145,143,1,2,0,0,0,0,7,108924,4638000
281,255,4,3,1,1,1,1,19,216315,4699000
253,229,4,2,1,1,1,0,4,218512,4426000
541,469,7,8,1,1,1,1,9,452774,3925000
189,189,3,4,1,0,0,1,17,177270,4345000
174,160,2,3,1,1,0,1,14,144421,4086999
199,198,3,1,0,0,0,0,5,155102,4076000
238,219,4,4,1,1,0,1,3,224645,4072000
266,238,5,5,0,1,1,1,2,246371,4614000
305,275,4,5,1,1,1,0,8,235295,4054000
238,225,4,5,1,1,0,1,8,227194,3500000
351,321,5,3,1,1,1,1,6,267069,4165999
266,263,4,2,1,1,1,1,17,221181,3068000
222,222,4,5,1,1,0,1,22,177497,4174000
122,121,2,3,0,0,1,0,18,93031,3052000
239,226,5,3,1,1,1,1,20,219944,3085000
178,154,2,1,0,1,0,0,11,136680,3264000
199,172,4,3,1,1,0,1,11,173375,2576000
592,518,7,5,1,1,1,1,20,462464,3197000
210,205,4,4,1,1,1,1,7,183988,4342000
269,253,4,4,1,1,1,1,2,208448,3178000
293,275,5,3,1,1,1,1,2,255478,3913000
134,125,1,1,1,1,0,0,19,93962,3561999
310,268,4,2,1,1,0,1,8,268550,4292000
150,138,1,2,0,1,0,0,21,98954,2899000
303,271,6,4,1,1,1,1,5,271240,2925000
294,260,4,3,1,1,1,0,22,244117,2984000
313,286,5,3,1,1,1,0,15,217061,3809000
211,188,3,3,0,1,0,1,11,174751,4958000
345,342,5,5,1,1,1,1,14,270050,4878000
555,545,7,5,1,1,1,1,1,465474,4898000
306,279,5,2,1,1,1,1,21,275227,5078000
258,253,4,2,1,1,0,1,15,216373,3010000
228,197,4,3,1,1,1,1,10,213272,2436000
324,293,5,2,1,1,1,1,4,280921,2800000
277,274,5,5,1,0,1,1,18,223126,3388000
134,127,2,3,0,1,1,0,20,100626,2520000
338,315,6,5,1,1,1,1,20,284950,3038000
274,235,4,2,1,1,1,1,7,257636,2464000
217,216,4,3,1,1,0,0,4,199060,5797000
279,260,4,3,1,1,0,1,22,228505,4928000
139,127,1,2,0,0,0,0,19,99448,4147000
221,211,4,3,1,1,1,1,4,209507,4400000
196,189,4,4,1,1,1,1,10,181160,7211000
293,254,5,5,1,1,0,0,2,244179,5910000
246,221,4,3,1,1,1,1,5,229984,7423000
152,151,3,2,0,0,1,0,7,114839,9227000
201,180,4,5,1,1,1,1,1,182184,7263000
102,91,1,2,0,1,0,0,5,68794,6494000
404,365,6,4,1,1,1,1,21,318141,8458000
190,179,3,3,1,1,1,0,17,148956,9094000
584,509,7,6,1,1,1,1,11,478267,7847000
240,230,3,3,1,1,1,0,4,176495,6520999
301,287,4,3,1,1,1,1,13,249095,7184000
250,230,5,4,1,1,1,1,6,229479,5858000
229,195,4,4,1,1,1,1,15,210232,7689000
110,99,1,1,0,0,1,0,22,68727,6415000
181,161,2,3,1,1,0,1,12,161613,5752000
542,505,7,4,1,1,1,1,15,431018,6388000
157,145,3,2,0,1,0,0,2,124535,7078000
289,269,5,3,1,1,1,1,21,241591,5804000
117,104,1,1,1,0,0,0,13,82579,11200000
307,301,4,4,1,1,0,1,10,275159,7608000
297,268,4,4,1,1,0,1,5,267067,6361000
333,289,5,4,1,1,1,0,1,294463,8192000
692,593,8,9,1,1,1,1,2,560537,6255000
294,267,4,3,1,1,1,0,3,233537,8830000
120,111,1,1,1,1,0,0,21,88804,9517000
337,303,5,4,1,1,1,1,8,274690,7556000
